week_start,keyword,impressions,clicks,ctr,avg_position
2024-01-01,IT staffing company Nagpur,140,28,0.2017,4.5
2024-01-08,IT staffing company Nagpur,104,26,0.2566,4.7
2024-01-15,IT staffing company Nagpur,120,33,0.2805,4.4
2024-01-22,IT staffing company Nagpur,117,32,0.2816,3.7
2024-01-29,IT staffing company Nagpur,114,32,0.2821,4.1
2024-02-05,IT staffing company Nagpur,137,39,0.2853,4.4
2024-02-12,IT staffing company Nagpur,110,25,0.2321,3.3
2024-02-19,IT staffing company Nagpur,99,20,0.2114,4.3
2024-02-26,IT staffing company Nagpur,112,26,0.2327,4.3
2024-03-04,IT staffing company Nagpur,133,26,0.1986,4.2
2024-03-11,IT staffing company Nagpur,130,32,0.2527,4.3
2024-03-18,IT staffing company Nagpur,144,37,0.2591,4.2
2024-03-25,IT staffing company Nagpur,136,27,0.1992,3.4
2024-04-01,IT staffing company Nagpur,107,28,0.2676,4.2
2024-04-08,IT staffing company Nagpur,105,24,0.2351,3.6
2024-04-15,IT staffing company Nagpur,113,26,0.2309,4.3
2024-04-22,IT staffing company Nagpur,113,24,0.2172,4.6
2024-04-29,IT staffing company Nagpur,112,23,0.2081,4.3
2024-05-06,IT staffing company Nagpur,130,33,0.2583,3.6
2024-05-13,IT staffing company Nagpur,110,30,0.2815,4.8
2024-05-20,IT staffing company Nagpur,143,33,0.234,4.1
2024-05-27,IT staffing company Nagpur,119,24,0.2054,4.8
2024-06-03,IT staffing company Nagpur,119,28,0.2417,4.2
2024-06-10,IT staffing company Nagpur,136,34,0.2552,4.0
2024-06-17,IT staffing company Nagpur,129,35,0.2771,4.2
2024-06-24,IT staffing company Nagpur,137,33,0.242,4.0
2024-01-01,manpower solutions India,62,11,0.1893,6.6
2024-01-08,manpower solutions India,75,13,0.1754,6.1
2024-01-15,manpower solutions India,81,14,0.1744,6.3
2024-01-22,manpower solutions India,81,12,0.1556,4.9
2024-01-29,manpower solutions India,69,9,0.1374,5.6
2024-02-05,manpower solutions India,70,12,0.1757,7.0
2024-02-12,manpower solutions India,60,10,0.1701,6.4
2024-02-19,manpower solutions India,63,11,0.19,6.4
2024-02-26,manpower solutions India,77,14,0.189,7.6
2024-03-04,manpower solutions India,85,16,0.1902,5.6
2024-03-11,manpower solutions India,71,10,0.1491,5.3
2024-03-18,manpower solutions India,66,9,0.1488,5.4
2024-03-25,manpower solutions India,83,11,0.1357,5.6
2024-04-01,manpower solutions India,68,9,0.1352,6.4
2024-04-08,manpower solutions India,66,11,0.1815,6.0
2024-04-15,manpower solutions India,71,11,0.162,6.3
2024-04-22,manpower solutions India,83,15,0.1812,7.1
2024-04-29,manpower solutions India,83,10,0.1318,6.2
2024-05-06,manpower solutions India,70,13,0.1906,6.2
2024-05-13,manpower solutions India,73,11,0.154,6.9
2024-05-20,manpower solutions India,73,12,0.1741,6.9
2024-05-27,manpower solutions India,83,11,0.1413,5.8
2024-06-03,manpower solutions India,71,11,0.1579,5.6
2024-06-10,manpower solutions India,77,14,0.1887,6.5
2024-06-17,manpower solutions India,70,13,0.1909,6.7
2024-06-24,manpower solutions India,58,9,0.1708,6.1
2024-01-01,contract staffing services,84,13,0.1575,6.4
2024-01-08,contract staffing services,65,9,0.1403,6.4
2024-01-15,contract staffing services,71,11,0.1579,6.1
2024-01-22,contract staffing services,72,12,0.1798,6.1
2024-01-29,contract staffing services,77,15,0.195,5.0
2024-02-05,contract staffing services,67,11,0.1749,5.5
2024-02-12,contract staffing services,72,12,0.1683,5.9
2024-02-19,contract staffing services,65,9,0.1515,5.6
2024-02-26,contract staffing services,71,10,0.1536,4.9
2024-03-04,contract staffing services,72,12,0.175,6.4
2024-03-11,contract staffing services,65,9,0.1487,5.7
2024-03-18,contract staffing services,71,9,0.1404,6.3
2024-03-25,contract staffing services,73,12,0.1761,6.7
2024-04-01,contract staffing services,64,9,0.1553,6.1
2024-04-08,contract staffing services,83,16,0.2033,5.8
2024-04-15,contract staffing services,65,9,0.1421,5.2
2024-04-22,contract staffing services,68,10,0.1478,5.9
2024-04-29,contract staffing services,63,8,0.1386,6.7
2024-05-06,contract staffing services,83,12,0.1501,5.0
2024-05-13,contract staffing services,76,12,0.1597,6.3
2024-05-20,contract staffing services,61,9,0.1533,5.6
2024-05-27,contract staffing services,78,12,0.1561,5.1
2024-06-03,contract staffing services,59,10,0.1737,6.0
2024-06-10,contract staffing services,76,12,0.1704,5.9
2024-06-17,contract staffing services,76,15,0.2019,5.5
2024-06-24,contract staffing services,66,10,0.156,6.3
2024-01-01,web development company Nagpur,74,10,0.1372,7.4
2024-01-08,web development company Nagpur,76,9,0.1255,7.2
2024-01-15,web development company Nagpur,72,9,0.133,8.3
2024-01-22,web development company Nagpur,78,10,0.1368,7.4
2024-01-29,web development company Nagpur,62,9,0.1509,7.0
2024-02-05,web development company Nagpur,77,11,0.1493,6.6
2024-02-12,web development company Nagpur,65,7,0.1214,6.6
2024-02-19,web development company Nagpur,59,8,0.1503,6.9
2024-02-26,web development company Nagpur,61,8,0.1345,7.4
2024-03-04,web development company Nagpur,65,7,0.114,7.3
2024-03-11,web development company Nagpur,56,7,0.142,6.6
2024-03-18,web development company Nagpur,66,7,0.1125,8.2
2024-03-25,web development company Nagpur,68,9,0.1372,6.7
2024-04-01,web development company Nagpur,61,7,0.1191,7.5
2024-04-08,web development company Nagpur,80,12,0.1564,6.9
2024-04-15,web development company Nagpur,60,8,0.1365,6.7
2024-04-22,web development company Nagpur,54,7,0.1464,7.8
2024-04-29,web development company Nagpur,58,8,0.1536,7.3
2024-05-06,web development company Nagpur,75,8,0.1166,6.7
2024-05-13,web development company Nagpur,61,7,0.124,7.1
2024-05-20,web development company Nagpur,69,9,0.1321,7.0
2024-05-27,web development company Nagpur,58,9,0.1566,7.9
2024-06-03,web development company Nagpur,62,9,0.1457,6.8
2024-06-10,web development company Nagpur,67,10,0.1497,8.6
2024-06-17,web development company Nagpur,56,8,0.1462,7.5
2024-06-24,web development company Nagpur,66,8,0.1317,6.9
2024-01-01,payroll management services,79,13,0.1736,5.7
2024-01-08,payroll management services,71,14,0.2025,4.8
